5	8.356387e-01	9.250000e-04
10	6.538209e-01	1.645000e-03
15	8.412003e-01	2.245000e-03
20	9.404451e-01	3.416000e-03
25	5.630655e-01	4.677000e-03
30	4.136106e-01	5.568000e-03
35	2.237152e-01	6.382000e-03
40	1.280758e-01	6.668000e-03
45	7.680355e-02	8.244000e-03
50	5.022790e-02	8.621000e-03
55	4.080156e-02	9.792000e-03
60	4.161627e-02	1.116000e-02
65	4.536147e-02	1.231800e-02
70	4.721274e-02	1.282000e-02
75	4.629140e-02	1.397900e-02
80	4.356352e-02	1.553000e-02
85	4.035396e-02	1.713300e-02
90	3.704082e-02	1.976300e-02
95	3.330402e-02	2.275100e-02
100	2.937376e-02	2.271900e-02
105	2.567370e-02	2.545800e-02
110	2.197926e-02	2.671900e-02
115	1.851999e-02	2.752100e-02
120	1.541116e-02	3.097900e-02
125	1.269255e-02	3.236200e-02
130	1.036115e-02	3.406700e-02
135	8.392001e-03	3.435900e-02
140	6.750187e-03	3.670800e-02
145	5.396754e-03	4.131100e-02
150	4.292206e-03	4.105300e-02
155	3.398786e-03	4.328800e-02
160	2.681701e-03	4.485400e-02
165	2.109882e-03	4.691300e-02
170	1.656358e-03	5.032900e-02
175	1.298245e-03	5.382500e-02
180	1.016473e-03	5.263800e-02
185	7.953849e-04	5.124400e-02
190	6.222702e-04	5.257800e-02
195	4.869399e-04	5.343900e-02
200	3.933736e-04	5.595300e-02
