5	9.152044e-01	1.146000e-03
10	7.773768e-01	1.775000e-03
15	9.395875e-01	2.918000e-03
20	7.936731e-01	4.039000e-03
25	2.660324e-01	4.806000e-03
30	8.553650e-02	5.622000e-03
35	4.229310e-02	6.584000e-03
40	4.415340e-02	7.647000e-03
45	4.375618e-02	9.400000e-03
50	3.077536e-02	1.010100e-02
55	1.817868e-02	1.093600e-02
60	8.734280e-03	1.297500e-02
65	3.627194e-03	1.386000e-02
70	1.340285e-03	1.521700e-02
75	4.557267e-04	1.790300e-02
80	1.482275e-04	1.808300e-02
85	5.195043e-05	2.035300e-02
90	1.619811e-05	2.494400e-02
95	4.438440e-06	2.565500e-02
100	1.317145e-06	2.669400e-02
105	3.713330e-07	3.111000e-02
110	1.023677e-07	3.021200e-02
115	2.779445e-08	3.299600e-02
120	6.922789e-09	3.608000e-02
125	1.782747e-09	3.792400e-02
130	4.362930e-10	4.169200e-02
135	1.068563e-10	4.434900e-02
140	2.616019e-11	4.602300e-02
145	6.267653e-12	4.851800e-02
150	1.474598e-12	5.313400e-02
155	3.419487e-13	5.530500e-02
160	7.827072e-14	5.720100e-02
165	1.820766e-14	6.188600e-02
170	4.884981e-15	6.426500e-02
175	2.664535e-15	7.104500e-02
180	2.664535e-15	7.163600e-02
185	2.664535e-15	7.277700e-02
190	2.664535e-15	7.179000e-02
