5	8.961003e-01	1.193700e-02
10	6.696412e-01	1.812500e-02
15	7.735307e-01	2.707400e-02
20	8.546870e-01	3.818200e-02
25	4.274333e-01	5.341400e-02
30	2.215835e-01	6.288400e-02
35	1.321977e-01	6.845000e-02
40	8.839309e-02	7.421200e-02
45	5.266946e-02	8.495600e-02
50	3.226607e-02	9.359700e-02
55	1.720428e-02	1.018350e-01
60	7.540708e-03	1.102930e-01
65	3.331738e-03	1.197440e-01
70	1.323431e-03	1.309760e-01
75	4.531539e-04	1.407820e-01
80	1.426658e-04	1.510390e-01
85	5.081872e-05	1.577480e-01
90	1.611560e-05	1.626130e-01
95	4.501620e-06	1.827640e-01
100	1.141090e-06	1.939760e-01
105	3.126436e-07	2.025110e-01
110	8.464824e-08	2.110570e-01
115	2.380523e-08	2.241260e-01
120	6.346164e-09	2.379980e-01
125	1.694392e-09	2.438310e-01
130	4.341243e-10	2.546440e-01
135	1.060774e-10	2.659330e-01
140	2.503087e-11	2.903090e-01
145	5.986323e-12	3.169990e-01
150	1.430855e-12	3.099680e-01
155	3.359535e-13	3.137520e-01
160	7.782663e-14	3.160220e-01
165	1.776357e-14	3.520570e-01
170	4.107825e-15	3.523250e-01
175	1.332268e-15	3.547400e-01
180	8.881784e-16	3.678900e-01
185	8.881784e-16	3.766630e-01
190	8.881784e-16	3.958150e-01
