5	8.356066e-01	1.352000e-03
10	6.538246e-01	1.689000e-03
15	8.412001e-01	2.381000e-03
20	9.404451e-01	3.431000e-03
25	5.630655e-01	4.259000e-03
30	4.136106e-01	5.650000e-03
35	2.237152e-01	5.957000e-03
40	1.280758e-01	6.624000e-03
45	7.680355e-02	7.384000e-03
50	5.022790e-02	8.964000e-03
55	4.080156e-02	9.564000e-03
60	4.161627e-02	1.077800e-02
65	4.536147e-02	1.107800e-02
70	4.721274e-02	1.204700e-02
75	4.629140e-02	1.569300e-02
80	4.356352e-02	1.585400e-02
85	4.035396e-02	1.730400e-02
90	3.704082e-02	2.082400e-02
95	3.330402e-02	1.994300e-02
100	2.937376e-02	2.396400e-02
105	2.567370e-02	2.471700e-02
110	2.197926e-02	2.633800e-02
115	1.851999e-02	3.001400e-02
120	1.541116e-02	2.902300e-02
125	1.269255e-02	2.661500e-02
130	1.036115e-02	2.861600e-02
135	8.392001e-03	2.927800e-02
140	6.750187e-03	3.130600e-02
145	5.396754e-03	3.295900e-02
150	4.292206e-03	3.415900e-02
155	3.398786e-03	3.642300e-02
160	2.681701e-03	3.909700e-02
165	2.109882e-03	4.055400e-02
170	1.656358e-03	4.116900e-02
175	1.298245e-03	4.344500e-02
180	1.016473e-03	4.541800e-02
185	7.953849e-04	4.783800e-02
190	6.222702e-04	4.851900e-02
195	4.869399e-04	5.067100e-02
200	3.933736e-04	5.641900e-02
